sku,dc,mean,stdvar
1,0,5.75,17.0690997615
1,1,4.66666666667,12.7038926668
1,2,2.91666666667,7.20484019408
1,3,1.66666666667,4.69633426787
1,4,2.08333333333,5.51450108552
1,5,0.916666666667,2.49861072509
1,-1,3.0,9.83756970892
2,0,0.977086743044,2.465367056
2,1,0.446808510638,1.43889237077
2,2,0.513911620295,1.52482552528
2,3,0.240986717268,1.12787241304
2,4,0.164739884393,0.918043009353
2,5,0.0546448087432,0.414580912315
2,-1,0.476981654552,1.62648545201
3,0,5.81437125749,6.98469049074
3,1,1.21951219512,1.700246684
3,2,2.46706586826,7.31398826394
3,3,1.34730538922,2.37231573797
3,4,0.622754491018,1.16133706994
3,5,0.331168831169,0.74776893095
3,-1,1.99087221095,4.74383531318
4,0,1.98230088496,1.99549182566
4,1,1.30973451327,1.94198897228
4,2,1.17924528302,1.52214576578
4,3,0.696428571429,1.02503733133
4,4,0.777777777778,0.974996043044
4,5,0.530973451327,1.01380555693
4,-1,1.08120300752,1.55964861938
5,0,5.60294117647,12.3158669847
5,1,2.5,5.52933354137
5,2,4.46376811594,12.23629634
5,3,1.08695652174,2.01975124336
5,4,0.538461538462,1.53999923154
5,5,0.402985074627,1.05178883149
5,-1,2.45320197044,7.82137573057
6,0,0.932896890344,3.20245629248
6,1,0.330605564648,1.17336624305
6,2,0.33387888707,0.902704344881
6,3,0.21767594108,0.714645826735
6,4,0.229110512129,0.953819964236
6,5,0.24025974026,0.624761718787
6,-1,0.414617716403,1.69486033737
7,0,117.965648855,143.844032515
7,1,77.6564885496,53.4096613315
7,2,85.6889312977,80.548339
7,3,50.3690248566,39.8437622286
7,4,65.3924731183,41.7728978778
7,5,37.8376963351,23.8061508822
7,-1,77.2396538751,84.4520566046
8,0,1.70212765957,3.01707829373
8,1,0.919803600655,1.31904740241
8,2,0.774140752864,1.25662331936
8,3,0.658291457286,4.96019185905
8,4,0.389078498294,0.78736838912
8,5,0.53125,3.95588465928
8,-1,0.925078043704,2.97391928723
9,0,3.26210826211,9.32018090991
9,1,1.42857142857,3.54953288102
9,2,1.83714285714,5.67443317317
9,3,0.988603988604,3.10864726123
9,4,1.05044510386,3.51180393305
9,5,0.148936170213,0.74315954028
9,-1,1.56564608199,5.36413766565
10,0,4.36011904762,10.7992263826
10,1,2.04166666667,4.08737045326
10,2,2.49404761905,4.6425785936
10,3,1.40186915888,3.87626328659
10,4,0.877976190476,1.93648938605
10,5,0.782608695652,2.33045100578
10,-1,2.09734991888,5.78459924576
11,0,0.688311688312,1.42573508277
11,1,0.298701298701,0.905465870834
11,2,0.337662337662,1.00789596467
11,3,0.279220779221,1.18155056196
11,4,0.0584415584416,0.260793319844
11,5,0.0584415584416,0.459206161253
11,-1,0.286796536797,0.984181663793
12,0,51.4618834081,37.0779947558
12,1,35.3410138249,66.136667778
12,2,23.9631336406,37.4580382783
12,3,26.7990430622,57.1422115741
12,4,12.6028708134,28.8389388444
12,5,3.6875,3.77715859918
12,-1,26.27308603,46.3060024836
13,0,11.7446808511,11.1751543897
13,1,5.19639934534,5.33622890415
13,2,5.09165302782,7.41618385887
13,3,3.64157119476,4.77556932136
13,4,4.31720430108,3.03411157413
13,5,2.62631578947,2.11817749499
13,-1,5.91882900865,7.5901368721
14,0,1.60396039604,5.21627158666
14,1,1.42574257426,2.56922585194
14,2,0.78431372549,1.49264504652
14,3,0.39603960396,0.965536919535
14,4,0.51,1.49328496945
14,5,0.22,0.625779513886
14,-1,0.82479338843,2.62266916563
15,0,5.74193548387,3.95105328493
15,1,4.93548387097,3.95894645378
15,2,3.41935483871,2.8258506404
15,3,1.54838709677,1.41052974897
15,4,1.41935483871,1.47613692757
15,5,0.903225806452,1.39942012668
15,-1,2.99462365591,3.31256537664
16,0,2.32258064516,1.65367814426
16,1,1.54838709677,1.73834755939
16,2,1.45161290323,1.04228996267
16,3,0.741935483871,0.801922767397
16,4,0.483870967742,0.756518670939
16,5,0.290322580645,0.453911202564
16,-1,1.13978494624,1.36855152884
17,0,6.02162162162,10.3320319326
17,1,1.46961325967,2.70265152485
17,2,3.54166666667,6.92727599983
17,3,2.22005571031,5.44141131509
